2015-09-23 21:01:39.314 WARN  [6928] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:01:47.359 WARN  [6928] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:01:47.359 WARN  [6928] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:01:47.359 WARN  [6928] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:01:53.178 WARN  [6928] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:01:53.178 WARN  [6928] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:01:53.178 WARN  [6928] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:01:53.178 WARN  [6928] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:01:53.178 WARN  [6928] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:01:55.838 WARN  [6928] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:01:55.838 WARN  [6928] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:01:55.838 WARN  [6928] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:01:55.838 WARN  [6928] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:01:55.838 WARN  [6928] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:01:55.838 WARN  [6928] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:01:55.838 WARN  [6928] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:02:00.198 WARN  [6928] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:02:00.198 WARN  [6928] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:02:00.198 WARN  [6928] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:02:00.198 WARN  [6928] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:02:00.198 WARN  [6928] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:02:00.198 WARN  [6928] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:02:00.198 WARN  [6928] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:02:00.198 WARN  [6928] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:02:00.198 WARN  [6928] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:02:18.983 WARN  [6946] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:02:20.945 WARN  [6957] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:02:23.992 WARN  [6957] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:02:23.992 WARN  [6957] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:02:23.992 WARN  [6957] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:02:44.936 WARN  [6972] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:03:08.201 WARN  [6972] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:03:08.201 WARN  [6972] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:03:08.201 WARN  [6972] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:07:15.144 WARN  [7152] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:07:38.172 WARN  [7176] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:07:47.893 WARN  [7191] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:08:02.049 WARN  [7207] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:08:32.790 WARN  [7232] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:08:33.803 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:08:52.492 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:08:52.492 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:08:52.492 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:08:53.687 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:08:53.687 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:08:53.687 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:08:53.687 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:08:53.687 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:08:54.548 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:08:54.548 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:08:54.548 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:08:54.548 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:08:54.548 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:08:54.548 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:08:54.548 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:26.634 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:26.634 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:26.634 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:26.634 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:26.634 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:26.634 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:26.634 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:26.634 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:26.634 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:27.718 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
2015-09-23 21:09:27.718 WARN  [7242] [Yaml::read@137] No se define configuracion de pantalla, se usa Default 1024x728
